Id,ElapsedTime
OAS1_0042_MR1_mpr_n4_anon_sbj_111,18.093
OAS1_0401_MR1_mpr_n5_anon_sbj_111,13.094
OAS1_0402_MR1_mpr_n4_anon_sbj_111,14.432
OAS1_0403_MR1_mpr_n4_anon_sbj_111,14.721
OAS1_0404_MR1_mpr_n4_anon_sbj_111,14.936
OAS1_0405_MR1_mpr_n4_anon_sbj_111,19.891
OAS1_0406_MR1_mpr_n4_anon_sbj_111,14.603
OAS1_0407_MR1_mpr_n4_anon_sbj_111,15.839
OAS1_0408_MR1_mpr_n4_anon_sbj_111,12.212
OAS1_0409_MR1_mpr_n3_anon_sbj_111,14.010
OAS1_0410_MR1_mpr_n3_anon_sbj_111,13.067
OAS1_0043_MR1_mpr_n4_anon_sbj_111,13.448
OAS1_0411_MR1_mpr_n4_anon_sbj_111,14.245
OAS1_0413_MR1_mpr_n4_anon_sbj_111,13.156
OAS1_0415_MR1_mpr_n4_anon_sbj_111,14.693
OAS1_0416_MR1_mpr_n4_anon_sbj_111,14.769
OAS1_0417_MR1_mpr_n4_anon_sbj_111,15.373
OAS1_0418_MR1_mpr_n4_anon_sbj_111,17.689
OAS1_0419_MR1_mpr_n4_anon_sbj_111,14.476
OAS1_0420_MR1_mpr_n4_anon_sbj_111,15.124
OAS1_0421_MR1_mpr_n4_anon_sbj_111,13.660
OAS1_0422_MR1_mpr_n4_anon_sbj_111,8.204
OAS1_0044_MR1_mpr_n4_anon_sbj_111,31.034
OAS1_0005_MR1_mpr_n4_anon_sbj_111,13.782
OAS1_0423_MR1_mpr_n3_anon_sbj_111,15.327
OAS1_0424_MR1_mpr_n4_anon_sbj_111,15.351
OAS1_0425_MR1_mpr_n4_anon_sbj_111,15.932
OAS1_0426_MR1_mpr_n4_anon_sbj_111,12.107
OAS1_0428_MR1_mpr_n4_anon_sbj_111,15.654
OAS1_0429_MR1_mpr_n4_anon_sbj_111,13.920
OAS1_0430_MR1_mpr_n4_anon_sbj_111,10.880
OAS1_0431_MR1_mpr_n3_anon_sbj_111,15.280
OAS1_0432_MR1_mpr_n4_anon_sbj_111,15.362
OAS1_0433_MR1_mpr_n3_anon_sbj_111,15.663
OAS1_0045_MR1_mpr_n4_anon_sbj_111,14.146
OAS1_0434_MR1_mpr_n3_anon_sbj_111,13.372
OAS1_0435_MR1_mpr_n4_anon_sbj_111,16.012
OAS1_0437_MR1_mpr_n4_anon_sbj_111,16.060
OAS1_0438_MR1_mpr_n4_anon_sbj_111,15.374
OAS1_0439_MR1_mpr_n4_anon_sbj_111,16.348
OAS1_0440_MR1_mpr_n4_anon_sbj_111,15.430
OAS1_0441_MR1_mpr_n4_anon_sbj_111,14.906
OAS1_0442_MR1_mpr_n4_anon_sbj_111,16.847
OAS1_0443_MR1_mpr_n4_anon_sbj_111,14.778
OAS1_0444_MR1_mpr_n4_anon_sbj_111,14.518
OAS1_0046_MR1_mpr_n4_anon_sbj_111,10.303
OAS1_0445_MR1_mpr_n4_anon_sbj_111,14.066
OAS1_0446_MR1_mpr_n4_anon_sbj_111,13.774
OAS1_0447_MR1_mpr_n4_anon_sbj_111,10.589
OAS1_0448_MR1_mpr_n4_anon_sbj_111,14.993
OAS1_0449_MR1_mpr_n4_anon_sbj_111,14.499
OAS1_0450_MR1_mpr_n4_anon_sbj_111,21.672
OAS1_0451_MR1_mpr_n3_anon_sbj_111,15.748
OAS1_0452_MR1_mpr_n3_anon_sbj_111,18.132
OAS1_0453_MR1_mpr_n3_anon_sbj_111,14.417
OAS1_0454_MR1_mpr_n3_anon_sbj_111,15.703
OAS1_0047_MR1_mpr_n4_anon_sbj_111,11.747
OAS1_0455_MR1_mpr_n3_anon_sbj_111,12.356
OAS1_0456_MR1_mpr_n4_anon_sbj_111,16.848
OAS1_0457_MR1_mpr_n3_anon_sbj_111,14.009
OAS1_0049_MR1_mpr_n4_anon_sbj_111,10.694
OAS1_0050_MR1_mpr_n4_anon_sbj_111,13.759
OAS1_0051_MR1_mpr_n4_anon_sbj_111,13.187
OAS1_0052_MR1_mpr_n4_anon_sbj_111,13.706
OAS1_0053_MR1_mpr_n4_anon_sbj_111,12.131
OAS1_0054_MR1_mpr_n4_anon_sbj_111,16.706
OAS1_0055_MR1_mpr_n4_anon_sbj_111,13.611
OAS1_0006_MR1_mpr_n4_anon_sbj_111,12.999
OAS1_0056_MR1_mpr_n4_anon_sbj_111,13.667
OAS1_0057_MR1_mpr_n3_anon_sbj_111,12.781
OAS1_0058_MR1_mpr_n4_anon_sbj_111,13.384
OAS1_0059_MR1_mpr_n4_anon_sbj_111,12.162
OAS1_0060_MR1_mpr_n4_anon_sbj_111,12.802
OAS1_0061_MR1_mpr_n4_anon_sbj_111,11.678
OAS1_0061_MR2_mpr_n4_anon_sbj_111,13.863
OAS1_0062_MR1_mpr_n4_anon_sbj_111,12.341
OAS1_0063_MR1_mpr_n4_anon_sbj_111,14.108
OAS1_0064_MR1_mpr_n4_anon_sbj_111,17.703
OAS1_0007_MR1_mpr_n3_anon_sbj_111,14.376
OAS1_0065_MR1_mpr_n4_anon_sbj_111,17.775
OAS1_0066_MR1_mpr_n4_anon_sbj_111,15.853
OAS1_0067_MR1_mpr_n3_anon_sbj_111,17.679
OAS1_0068_MR1_mpr_n4_anon_sbj_111,18.653
